refdes;partname;type;Applications;Availability;Built_By;Capacitance;Check_prices;ComponentLink1Description;ComponentLink1URL;ComponentLink2Description;ComponentLink2URL;Composition;Copyright;Datasheet;Device_Package;Digikey_Link;ESR_(Equivalent_Series_Resistance);Features;Height_-_Seated_(Max);LastUpdated;LatestRevisionDate;LatestRevisionNote;Lifecycle_Status;Lifetime_@_Temp.;MF;MP;Manufacturer;Manufacturer_Part_Number;Manufacturer_Size_Code;Minimum_Order;Mounting_Type;Number_of_Terminations;Operating_Temperature;Package;Package_/_Case;Packaging;PartId;Part_Number;Part_Status;Power_(Watts);Price;Publisher;Purchase-URL;RefDes;Resistance;Series;Size_/_Dimension;SnapEDA_Link;SourceLibrary;Supplier_1;Supplier_Device_Package;Supplier_Part_Number_1;Temperature_Coefficient;Thickness_(Max);Tolerance;Type;Value;Vendor;Voltage_-_Rated
C22;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C26;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C27;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C30;10_F;C; General Purpose;  ;  ; 10µF;  ; Datasheet; http://www.samsungsem.com/kr/support/product-search/mlcc/CL21A106MQFNNNE.jsp; DigiKey Link; http://digikey.com/product-detail/en/samsung-electro-mechanics/CL21A106MQFNNNE/1276-1298-1-ND/3889384;  ;  ;  ; 0805 (2012 Metric);  ;  ;  ;  ; 9/2/2020 1:04:40 AM;  ;  ; Active;  ;  ;  ; Samsung Electro-Mechanics;  ;  ; 1; Surface Mount, MLCC;  ; -55°C ~ 85°C;  ; 0805 (2012 Metric); TapeAndReel; 3169; CL21A106MQFNNNE; Active;  ; 0.02;  ;  ;  ;  ; CL; 0.079_ L x 0.049_ W (2.00mm x 1.25mm);  ;  ; DigiKey;  ; 1276-1298-1-ND; X5R; 0.053_ (1.35mm); ±20%;  ; 10µF;  ; 6.3V
C33;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C5;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C6;1_F;C;  ;  ;  ; 1µF;  ; Datasheet; https://api.kemet.com/component-edge/download/datasheet/T494A105M016AT.pdf; DigiKey Link; http://digikey.com/product-detail/en/kemet/T494A105M016AT/399-8429-1-ND/3472152;  ;  ;  ; 1206 (3216 Metric);  ; 6Ohm; General Purpose; 0.071_ (1.80mm); 9/2/2020 1:15:52 AM;  ;  ; Active; 2000 Hrs @ 125°C;  ;  ; KEMET;  ; A; 1; Surface Mount;  ; -55°C ~ 125°C;  ; 1206 (3216 Metric); TapeAndReel; 2393; T494A105M016AT; Active;  ; 0.20;  ;  ;  ;  ; T494; 0.126_ L x 0.063_ W (3.20mm x 1.60mm);  ;  ; DigiKey;  ; 399-8429-1-ND;  ;  ; ±20%; Molded; 1µF;  ; 16V
C7;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
C8;0.1_F;C;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 6R3X14W104MV4T;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 0.1µF;  ;  
J2;FFC2B35-06-G_REVA2; ;  ; In Stock;  ;  ; https://www.snapeda.com/parts/FFC2B35-06-G/Global+Connector+Technology/view-part/?ref=eda;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; Global Connector Technology; FFC2B35-06-G;  ;  ;  ;  ;  ;  ;  ; None;  ;  ;  ;  ;  ;  ; None;  ; https://pricing.snapeda.com/search/part/FFC2B35-06-G/?ref=eda;  ;  ;  ;  ; https://www.snapeda.com/parts/FFC2B35-06-G/Global+Connector+Technology/view-part/?ref=snap;  ;  ;  ;  ;  ;  ;  ;  ; ;  ;  
R3;47_Ohms;R;  ;  ;  ;  ;  ; Datasheet; https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=9-1773463-9&DocType=DS&DocLang=English; DigiKey Link; http://digikey.com/product-detail/en/te-connectivity-passive-product/CRGP0805F47R/A130461CT-ND/8578293; Thick Film;  ;  ; 0805 (2012 Metric);  ;  ; Pulse Withstanding; 0.026_ (0.65mm); 9/2/2020 1:15:22 AM;  ;  ; Active;  ;  ;  ; TE Connectivity Passive Product;  ;  ; 1;  ; 2; -55°C ~ 155°C;  ; 0805 (2012 Metric); TapeAndReel; 28763; CRGP0805F47R; Active; 0.333W, 1/3W; 0.02;  ;  ;  ; 47 Ohms; CRGP; 0.079_ L x 0.049_ W (2.00mm x 1.25mm);  ;  ; DigiKey; 0805; A130461CT-ND; ±200ppm/°C;  ; ±1%;  ; 47 Ohms;  ;  
R4;100_Ohms;R;  ;  ;  ;  ;  ; Datasheet; https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204&DocType=DS&DocLang=English; DigiKey Link; http://digikey.com/product-detail/en/te-connectivity-passive-product/CRG1206F100R/A106068CT-ND/3477719; Thick Film;  ;  ; 1206 (3216 Metric);  ;  ;  ; 0.026_ (0.65mm); 9/2/2020 1:13:10 AM;  ;  ; Active;  ;  ;  ; TE Connectivity Passive Product;  ;  ; 1;  ; 2; -55°C ~ 155°C;  ; 1206 (3216 Metric); TapeAndReel; 26991; CRG1206F100R; Active; 0.25W, 1/4W; 0.01;  ;  ;  ; 100 Ohms; CRG, Neohm; 0.122_ L x 0.061_ W (3.10mm x 1.55mm);  ;  ; DigiKey; 1206; A106068CT-ND; ±200ppm/°C;  ; ±1%;  ; 100 Ohms;  ;  
R6;10_kOhms;R;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; CRCW060310K0FKEAHP;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; 10 kOhms;  ;  
U2;IS42S16400J-7TL; ;  ;  ; EMA_Cory;  ;  ; New link; https://www.digikey.be/en/products/detail/issi-integrated-silicon-solution-inc/IS42S16400J-7TL/2708623;  ;  ;  ; Copyright (C) 2018 Accelerated Designs. All rights reserved; http://www.issi.com/WW/pdf/42-45S16400J.pdf;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; IS42S16400J-7TL;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ; RefDes;  ;  ;  ;  ; Add_to_database_2020-12-24;  ;  ;  ;  ;  ;  ; DEV;  ; ISSI;  
